loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.009075504541397095,0.0016595784109085798,5.2630274036305335e-05,1.0,400,,,,,,,,,
,,,1.0,400,0.0013515832833945751,229.5152,1.743,1.743,,,,,
0.0013952826149761677,0.0015735263004899025,5.060725169173495e-05,1.025,410,,,,,,,,,
0.01014217957854271,0.08070361614227295,4.8583234203646804e-05,1.05,420,,,,,,,,,
0.0047422081232070925,0.0014127135509625077,4.6561538463390084e-05,1.075,430,,,,,,,,,
0.0022015785798430443,0.00951859075576067,4.454547755751226e-05,1.1,440,,,,,,,,,
0.002133714593946934,0.0013889102265238762,4.2538355338384895e-05,1.125,450,,,,,,,,,
,,,1.125,450,0.0011908523738384247,229.7214,1.741,1.741,,,,,
0.0005485858302563429,0.0055513642728328705,4.054346100996232e-05,1.15,460,,,,,,,,,
0.00011390105355530977,0.0010677912505343556,3.856406373754545e-05,1.175,470,,,,,,,,,
0.00011600636644288897,0.00241313804872334,3.6603407290384357e-05,1.2,480,,,,,,,,,
0.000535857118666172,0.0003457434650044888,3.466470472589909e-05,1.225,490,,,,,,,,,
0.00038449543062597514,0.0013719936832785606,3.2751133124229805e-05,1.25,500,,,,,,,,,
,,,1.25,500,0.001210304326377809,229.5586,1.742,1.742,,,,,
0.006096750497817993,0.0011903931153938174,3.086582838174551e-05,1.275,510,,,,,,,,,
0.0011920318007469176,0.00042747531551867723,2.901188007204316e-05,1.3,520,,,,,,,,,
0.0030539628118276597,0.7919870615005493,2.719232638285898e-05,1.325,530,,,,,,,,,
0.008766882866621018,0.0030972780659794807,2.54101491371894e-05,1.35,540,,,,,,,,,
0.0012996856123209,0.0052572134882211685,2.3668268906780274e-05,1.375,550,,,,,,,,,
,,,1.375,550,0.0012216218747198582,231.5599,1.727,1.727,,,,,
0.00021376963704824447,0.009774011559784412,2.1969540225992923e-05,1.4,560,,,,,,,,,
0.003199165314435959,0.0017685075290501118,2.0316746913889712e-05,1.425,570,,,,,,,,,
0.003756151348352432,0.0019177162321284413,1.871259751220566e-05,1.45,580,,,,,,,,,
0.0007171874865889549,0.0011720787733793259,1.7159720846681953e-05,1.475,590,,,,,,,,,
0.0020240403711795805,0.003227819921448827,1.566066171903528e-05,1.5,600,,,,,,,,,
